School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,98,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Madison Community Center,Community Center,550 N Dupont Ave,Madison,TN,37115,36,Basic operating,Frist Art Museum,FY19,"550 N Dupont Ave
Madison, TN 37115
(36.267655, -86.70102)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,119,Basic Operating,Nashville Children's Theatre,FY17,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,300,Arts Access,Chinese Arts Alliance of Nashville,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Watkins Park Community Center,Community Center,616 17th Ave N,Nashville,TN,37203,13,Basic operating,Frist Art Museum,FY19,"616 17th Ave N
Nashville, TN 37203
(36.162212, -86.800477)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,425,Basic Operating,Nashville Opera Association,FY16,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
Oak Hill School,Private,4815 Franklin Pike,Nashville,TN,37220,50,Basic Operating,Global Education Center,FY16,"4815 Franklin Pike
Nashville, TN 37220
(36.079295, -86.77283)"
Shwab Elementary,MNPS,1500 Dickerson Pike,Nashville,TN,37207-5054,54,Basic Operating,Cheekwood,FY19,"1500 Dickerson Pike
Nashville, TN 37207-5054
(36.199361, -86.770285)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,433,Basic Operating,Moves & Grooves,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Nashville Big Picture High School,MNPS,160 Rural Avenue,Nashville,TN,37209,54,Basic Operating,Tennessee Performing Arts Center,FY16,"160 Rural Avenue
Nashville, TN 37209
(36.142515, -86.855997)"
Beech High School,Other,3126 Long Hollow Pike,Hendersonville,TN,37075,1,Creation,Theater Bug,FY19,"3126 Long Hollow Pike
Hendersonville, TN 37075
(36.371026, -86.619331)"
East Nashville Magnet Middle School,MNPS,2000 Greenwood Avenue,Nashville,TN,37206,2,Basic Operating,Choral Arts Link,FY16,"2000 Greenwood Avenue
Nashville, TN 37206
(36.189048, -86.732515)"
Oak Hill School,Private,4815 Franklin Pike,Nashville,TN,37220,94,Basic Operating,Country Music Foundation,FY16,"4815 Franklin Pike
Nashville, TN 37220
(36.079295, -86.77283)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,90,Basic Operating,Nashville Children's Theatre,FY16,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Cumberland Elementary School,MNPS,4247 Cato Road,Nashville,TN,37218,6,Basic Operating,Choral Arts Link,FY16,"4247 Cato Road
Nashville, TN 37218
(36.212186, -86.866175)"
Harris Hillman Elementary,Metro Nashville Public School,"1706 26th Avenue, South",Nashville,TN,37212,160,Basic Operating,Nashville Ballet,FY19,"1706 26th Avenue, South
Nashville, TN 37212
(36.137515, -86.808046)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,140,Basic Operating,Tennessee Performing Arts Center,FY16,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,25,Basic Operating,Nashville Shakespeare Festival,FY17,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
Waverly Belmont Elementary School,MNPS,2301 10th Avenue South,Nashville,TN,37204,6,Basic Operating,W.O. Smith Music School,FY17,"2301 10th Avenue South
Nashville, TN 37204
(36.126411, -86.786249)"
Alex Green Elementary School,MNPS,3921 Lloyd Road,Whites Creek,TN,37189,105,Basic Operating,Nashville Children's Theatre,FY16,"3921 Lloyd Road
Whites Creek, TN 37189
(36.252464, -86.831571)"
McKissack Middle School,MNPS,915 38th Ave N,Nashville,TN,37209,25,Basic Operating,Belcourt Theatre,FY19,"915 38th Ave N
Nashville, TN 37209
(36.159449, -86.830883)"
Nashville Classical Charter School,MNPS,1310 Ordway Pl,Nashville,TN,37206,5,Core Operating,Theater Bug,FY19,"1310 Ordway Pl
Nashville, TN 37206
(36.18026, -86.746013)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,17,Basic Operating,Southern Word,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,4,Arts Access,Global Education Center,FY17,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Isaac Litton Middle Prep,MNPS,4601 Hedgewood Drive,Nashville,TN,37216,30,After-School Arts,Martha O'Bryan Center,FY16,"4601 Hedgewood Drive
Nashville, TN 37216
(36.22784, -86.720692)"
Shwab Elementary,Metro Nashville Public School,"1500 Dickerson Pike,",Nashville,TN,37207,180,Basic Operating,Nashville Ballet,FY19,"1500 Dickerson Pike,
Nashville, TN 37207
(36.199361, -86.770285)"
KIPP Kirkpatrick Elementary School,Other,1000 Sevier Street,Nashville,TN,37206,100,Basic Operating,Nashville Children's Theatre,FY19,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
Harpeth Valley Elementary,MNPS,7840 Learning Ln,Nashville,TN,37221,1,Core Operating,Theater Bug,FY19,"7840 Learning Ln
Nashville, TN 37221
(36.044627, -86.957938)"
West End Middle School,MNPS,3529 West End Ave,Nashville,TN,37205,2,Creation,Theater Bug,FY19,"3529 West End Ave
Nashville, TN 37205
(36.134835, -86.824625)"
"Oasis Center, Inc.",Nonprofit Facility,1704 Charlotte Pike Suite 200,Nashville,TN,37203,10,Basic operating,Frist Art Museum,FY19,"1704 Charlotte Pike Suite 200
Nashville, TN 37203
(36.15849, -86.798893)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,82,Basic Operating,Country Music Foundation,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
J T Moore Middle School,MNPS,4425 Granny White Pike,Nashville,TN,37204-4117,3,Basic Operating,Cheekwood,FY19,"4425 Granny White Pike
Nashville, TN 37204-4117
(36.09542, -86.801241)"
Maxwell Elementary,MNPS,5535 Blue Hole Road,Antioch,TN,37013,1,Basic Operating,Choral Arts Link,FY17,"5535 Blue Hole Road
Antioch, TN 37013
(36.031702, -86.673544)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,233,Basic Operating,Nashville Children's Theatre,FY17,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Community Based Transition Program,MNPS,2601 Bransford Ave,Nashville,TN,37204,13,Basic Operating,Cheekwood,FY17,"2601 Bransford Ave
Nashville, TN 37204
(36.121796, -86.7655)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,334,Basic Operating,Tennessee Performing Arts Center,FY17,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Overton High,MNPS,4820 Franklin Road,Nashville,TN,37220,2,Basic Operating,Global Education Center,FY19,
Fairview High School,Other,2595 Fairview Blvd W,Fairview,TN,37062,1,Core Operating,Theater Bug,FY19,"2595 Fairview Blvd W
Fairview, TN 37062
(35.95053, -87.143142)"
Home School,Home Schooled,Various addresses,N/A,N/A,N/A,37,Youth Arts,"Notes for Notes, Inc",FY19,
Hunters Lane High School,MNPS,1150 Hunters Lane,Nashville,TN,37207,1,Basic Operating,W.O. Smith Music School,FY16,"1150 Hunters Lane
Nashville, TN 37207
(36.277943, -86.753492)"
DuPont Tyler Middle Prep,MNPS,431 Tyler Drive,Hermitage,TN,37076,1,Arts Access,Global Education Center,FY17,"431 Tyler Drive
Hermitage, TN 37076
(36.198483, -86.611917)"
Wright Middle Prep,MNPS,180 McCall Street,Nashville,TN,37211,91,Basic Operating,Southern Word,FY16,"180 McCall Street
Nashville, TN 37211
(36.099132, -86.734386)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,227,Basic Operating,Nashville Children's Theatre,FY16,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
Goodpasture Christian School,Private,619 West Due West Avenue,Madison,TN,37115,1,Basic Operating,Nashville Jazz Workshop,FY17,"619 West Due West Avenue
Madison, TN 37115
(36.249737, -86.739521)"
Ensworth School,Private,211 Ensworth Avenue,Nashville,TN,37205,514,Basic Operating,Nashville Children's Theatre,FY16,"211 Ensworth Avenue
Nashville, TN 37205
(36.12555, -86.84001)"
Homeschool,Home Schooled,,,TN,,51,Basic Operating,Tennessee Performing Arts Center,FY17,"TN
(35.842998, -86.343226)"
Christ the King School,Private,3105 Belmont Blvd,Nashville,TN,37215,25,Basic Operating,Cheekwood,FY17,"3105 Belmont Blvd
Nashville, TN 37215
(36.118319, -86.796545)"
Hume Fogg High School,MNPS,700 Broadway,Nashville,TN,37203,8,Core Operating,Theater Bug,FY19,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Dan Mills Elementary,MNPS,4106 Kennedy Avenue,Nashville,TN,37216,1,Basic Operating,Global Education Center,FY19,"4106 Kennedy Avenue
Nashville, TN 37216
(36.218646, -86.717495)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,1,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Glenview Elementary School,MNPS,1020 Patricia Drive,Nashville,TN,37217,2,Basic Operating,W.O. Smith Music School,FY17,"1020 Patricia Drive
Nashville, TN 37217
(36.128499, -86.70726)"
Homeschool,Home Schooled,,,TN,,200,Basic Operating,"Country Music Foundation, Inc.",FY16,"TN
(35.842998, -86.343226)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,215,Basic Operating,Southern Word,FY17,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,697,Basic Operating,Nashville Children's Theatre,FY16,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Bellshire Elementary Design Center,MNPS,1128 Bell Grimes Lane,Nashville,TN,37207,1,Arts Access,East Nashville Hope Exchange,FY17,"1128 Bell Grimes Lane
Nashville, TN 37207
(36.268937, -86.761344)"
MNPS Virtual,MNPS,4805 Park Ave Suite 300,Nashville,TN,37209,6,Youth Arts,"Notes for Notes, Inc",FY19,"4805 Park Ave Suite 300
Nashville, TN 37209
(36.150961, -86.844705)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,190,Basic Operating,Country Music Foundation,FY16,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Glengarry Elementary School,MNPS,200 Finley Drive,Nashville,TN,37217,398,Basic Operating,Nashville Children's Theatre,FY16,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
Overbrook School,Private,4210 Harding Pike,Nashville,TN,37205,30,Basic Operating,Nashville Children's Theatre,FY16,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
Belle Meade Children's Center,ELC/Pre-K,121 Davidson Road,Nashville,TN,37205,16,Basic Operating,Nashville Children's Theatre,FY19,"121 Davidson Road
Nashville, TN 37205
(36.115212, -86.862587)"
Rose Park Magnet Middle,MNPS,1025 9th Avenue South,Nashville,TN,37203,443,Basic Operating,Global Education Center,FY19,"1025 9th Avenue South
Nashville, TN 37203
(36.142539, -86.780874)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,37,Arts Access,Belcourt Theatre,FY17,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,126,Arts Access,Nashville Children's Theatre,FY16,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
St. Edward School,Private,190 Thompson Lane,Nashville,TN,37211,3,Basic Operating,W.O. Smith Music School,FY17,"190 Thompson Lane
Nashville, TN 37211
(36.11056, -86.740249)"
Middle College High School,MNPS,120 White Bridge Road,Nashville,TN,37209,2,Basic Operating,W.O. Smith Music School,FY16,"120 White Bridge Road
Nashville, TN 37209
(36.134879, -86.858326)"
Hillwood High School,MNPS,400 Davidson Rd,Nashville,TN,37205,1,Core Operating,The Porch Writer's Collective,FY19,"400 Davidson Rd
Nashville, TN 37205
(36.117025, -86.873648)"
Wallace Group Home - Youth Villages,Other,260 Wallace Road,Nashville,TN,37211,14,Basic Operating,Nashville Film Festival,FY19,"260 Wallace Road
Nashville, TN 37211
(36.079212, -86.71023)"
Benton Hall Academy,Private School (K-12),5555 Franklin Pike,Nashville,TN,37220,1,Basic Operating,Nashville Opera,FY19,"5555 Franklin Pike
Nashville, TN 37220
(36.040355, -86.78481)"
Nashville Big Picture High School,MNPS,160 Rural Avenue,Nashville,TN,37209,1,Basic Operating,Choral Arts Link,FY17,"160 Rural Avenue
Nashville, TN 37209
(36.142515, -86.855997)"
Nashville Christian School,Private,7555 Sawyer Brown Road,Nashville,TN,37221,86,Basic Operating,Cheekwood,FY17,"7555 Sawyer Brown Road
Nashville, TN 37221
(36.106683, -86.930689)"
Nashville Big Picture High School,MNPS,160 Rural Avenue,Nashville,TN,37209,3,Basic Operating,W.O. Smith Music School,FY17,"160 Rural Avenue
Nashville, TN 37209
(36.142515, -86.855997)"
Crieve Hall Elementary School,MNPS,498 Hogan Road,Nashville,TN,37220,1,Basic Operating,W.O. Smith Music School,FY17,"498 Hogan Road
Nashville, TN 37220
(36.065173, -86.757468)"
H.G. Hill Middle Prep,MNPS,150 Davidson Road,Nashville,TN,37205,250,Basic Operating,Nashville Ballet,FY16,"150 Davidson Road
Nashville, TN 37205
(36.115731, -86.865743)"
John F. Kennedy Middle Prep,MNPS,2087 Hobson Pike,Antioch,TN,37013,120,Basic Operating,Country Music Foundation,FY17,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
Rosebank STEM School,MNPS,1012 Preston Drive,Nashville,TN,37206,43,Arts Access,Nashville Children's Theatre,FY17,"1012 Preston Drive
Nashville, TN 37206
(36.184389, -86.717303)"
Nashville Christian School,Private,7555 Sawyer Brown Road,Nashville,TN,37221,121,Basic Operating,Nashville Children's Theatre,FY16,"7555 Sawyer Brown Road
Nashville, TN 37221
(36.106683, -86.930689)"
East Library,Other,206 Gallatin Ave,Nashville,TN,37206,4,Basic Operating,Nashville Ballet,FY19,"206 Gallatin Ave
Nashville, TN 37206
(36.179073, -86.750472)"
Home School,Home Schooled,Various addresses,Hermitage,TN,37076,2,Basic Operating,Global Education Center,FY19,
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,3,Basic Operating,W.O. Smith Music School,FY17,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,209,Basic Operating,Country Music Foundation,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
First Presbyterian Early Preschool,ELC/Pre-K,4815 Franklin Pike,Nashville,TN,37220,15,Basic Operating,Nashville Children's Theatre,FY19,"4815 Franklin Pike
Nashville, TN 37220
(36.079295, -86.77283)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,3,After-School Arts,Frist Center for the Visual Arts,FY16,
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211-3018,2,Basic Operating,Cheekwood,FY19,"160 Antioch Pike
Nashville, TN 37211-3018
(36.100889, -86.726609)"
Rose Park Magnet Middle School,MNPS,1025 9th Avenue South,Nashville,TN,37203,128,Basic Operating,Nashville Children's Theatre,FY19,"1025 9th Avenue South
Nashville, TN 37203
(36.142539, -86.780874)"
Kindercare Bell Road,ELC/Pre-K,592 Bell Road,Antioch,TN,37013,2,Basic Operating,Global Education Center,FY19,"592 Bell Road
Antioch, TN 37013
(36.063775, -86.637295)"
Haynes Middle School,MNPS,510 West Trinity Lane,Nashville,TN,37207,90,Basic Operating,Nashville Symphony,FY16,"510 West Trinity Lane
Nashville, TN 37207
(36.207377, -86.790851)"
The Covenant School,Private School,33 Burton Hills Blvd.,nashville,TN,37215,23,Basic Operating,Nashville Children's Theatre,FY19,"33 Burton Hills Blvd.
nashville, TN 37215
(36.09511, -86.824028)"
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211,293,Basic Operating,Tennessee Performing Arts Center,FY17,"160 Antioch Pike
Nashville, TN 37211
(36.100889, -86.726609)"
Sylvan Park,MNPS,4801 Utah Ave,Nashville,TN,37209,4,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"4801 Utah Ave
Nashville, TN 37209
(36.144302, -86.84463)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,6,Basic Operating,Southern Word,FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,110,Basic Operating,Cheekwood,FY17,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Harris Hillman School,Metro Nashville Public School,1706 26th Ave s,Nashville,TN,37212,57,Basic operating,Frist Art Museum,FY19,"1706 26th Ave s
Nashville, TN 37212
(36.137515, -86.808046)"
Rose Park Magnet Math & Science Middle School,MNPS,1025 9th Ave South,Nashville,TN,37203,212,Basic Operating,Frist Center for the Visual Arts,FY17,"1025 9th Ave South
Nashville, TN 37203
(36.142539, -86.780874)"
Sevier Park Community Center,Community Center,3021 Leland Ln,Nashville,TN,37204,20,Basic operating,Frist Art Museum,FY19,"3021 Leland Ln
Nashville, TN 37204
(36.119187, -86.78732)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,383,Basic Operating,Tennessee Performing Arts Center,FY17,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,75,Basic Operating,Nashville Symphony,FY16,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Apollo Middle School,MNPS,631 Richards Road,Antioch,TN,37013,17,Arts Access,Belcourt Theatre,FY17,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
Dan Mills Elementary School,MNPS,4106 Kennedy Avenue,Nashville,TN,37216,296,Basic Operating,Nashville Children's Theatre,FY16,"4106 Kennedy Avenue
Nashville, TN 37216
(36.218646, -86.717495)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,554,Basic Operating,Country Music Foundation,FY17,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Rose Park Magnet Middle School,MNPS,1025 9th Ave S,Nashville,TN,37203,1,Core Operating,Theater Bug,FY19,
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,238,Basic Operating,Moves & Grooves,FY17,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,172,Basic Operating,Nashville Children's Theatre,FY17,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,100,Arts Access,Nashville Ballet,FY17,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Dupont Hadley Middle School,MNPS,1900 Old Hickory Blvd,Old Hickory,TN,37138-2818,85,Basic Operating,Cheekwood,FY19,"1900 Old Hickory Blvd
Old Hickory, TN 37138-2818
(36.252487, -86.647769)"
Linden Waldorf,Private School,3201 Hillsboro Pike,Nashville,TN,37215,20,Basic operating,Frist Art Museum,FY19,"3201 Hillsboro Pike
Nashville, TN 37215
(36.119645, -86.808727)"
Neely's Bend  Elementary,Metro Nashville Public School,1300 Neely's Bend Road��,Nashville,TN,37115,460,Basic Operating,Nashville Ballet,FY19,"1300 Neely's Bend Road��
Nashville, TN 37115
(36.239893, -86.672446)"
Fannie Battle Day Home,Early Learning Center/Pre-K,108 Chapel Ave,Nashville,TN,37206,32,Basic Operating,Nashville Ballet,FY19,"108 Chapel Ave
Nashville, TN 37206
(36.183284, -86.735927)"
Donelson Christian Academy,Private School,300 Danyacrest Drive,Nashville,TN,37214,154,Basic Operating,Nashville Children's Theatre,FY19,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
John F. Kennedy Middle School,MNPS,2087 Hobson Pike,Antioch,TN,37013,200,Basic Operating,Nashville Children's Theatre,FY19,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
Cameron College Prep,MNPS,1034 1st Avenue South,Nashville,TN,37210,141,Basic Operating,Country Music Foundation,FY16,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,2,Basic Operating,W.O. Smith Music School,FY17,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
Bellevue Middle School,MNPS,655 Colice Jeanne Rd,Nashville,TN,37221,3,Core Operating,Theater Bug,FY19,"655 Colice Jeanne Rd
Nashville, TN 37221
(36.071058, -86.934079)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,3,Basic Operating,W.O. Smith Music School,FY16,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Fannie Battle Day Home,Pre-K/ELC,108 Chapel Avenue,Nashville,TN,37206,40,Arts Access,Nashville Ballet,FY17,"108 Chapel Avenue
Nashville, TN 37206
(36.183284, -86.735927)"
Episcopal School of Nashville,Private,413 Woodland Street,Nashville,TN,37206,16,Basic Operating,Frist Center for the Visual Arts,FY17,"413 Woodland Street
Nashville, TN 37206
(36.17149, -86.765657)"
Otter Creek School,ELC/Pre-K,409 Franklin Road,Brentwood,TN,37027,144,Basic Operating,Nashville Children's Theatre,FY19,"409 Franklin Road
Brentwood, TN 37027
(36.023043, -86.794486)"
Primrose School,Pre-K/ELC,1915 Charlotte Avenue,Nashville,TN,37203,79,Basic Operating,Cheekwood,FY17,"1915 Charlotte Avenue
Nashville, TN 37203
(36.157418, -86.802279)"
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,27,Basic Operating,Cheekwood,FY17,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
Robert Churchwell Museum Magnet Elementary,MNPS,1625 Dr. D. B. Todd Jr. Boulevard,Nashville,TN,37208,40,Basic Operating,Global Education Center,FY19,"1625 Dr. D. B. Todd Jr. Boulevard
Nashville, TN 37208
(36.175783, -86.809257)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,2,Arts Access,Global Education Center,FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Neely's Bend Elementary School,MNPS,1300 Neelys Bend Road,Madison,TN,37115,170,Basic Operating,Nashville Symphony,FY17,"1300 Neelys Bend Road
Madison, TN 37115
(36.239893, -86.672446)"
Homeschool,Home Schooled,,,TN,,599,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,"TN
(35.842998, -86.343226)"
St. Bernard Academy,Private School,2304 Bernard Ave.,Nashville,TN,37212,171,Basic Operating,Nashville Children's Theatre,FY19,"2304 Bernard Ave.
Nashville, TN 37212
(36.13163, -86.805055)"
Nashville School of the Arts,MNPS,1250 Foster Ave,Nashville,TN,37210,2,Youth Arts,Southern Word,FY19,"1250 Foster Ave
Nashville, TN 37210
(36.131492, -86.741669)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,60,Basic Operating,Global Education Center,FY17,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Whitsitt Elementary School,MNPS,110 Whitsitt Road,Nashville,TN,37210,10,After-School Arts,Southern Word,FY17,"110 Whitsitt Road
Nashville, TN 37210
(36.114573, -86.736807)"
DuPont Hadley Middle Prep,MNPS,1901 Old Hickory Blvd,Old Hickory,TN,37138,14,Basic Operating,Southern Word,FY16,"1901 Old Hickory Blvd
Old Hickory, TN 37138
(36.249028, -86.643271)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,509,Basic Operating,Nashville Children's Theatre,FY17,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,40,Arts Access,Nashville Ballet,FY17,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
NAZA - Wright Middle School,MNPS,180 McCall Street,Nashville,TN,37211,12,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,"180 McCall Street
Nashville, TN 37211
(36.099132, -86.734386)"
Franklin High School,Other,810 Hillsboro Rd,Franklin,TN,37064,2,Core Operating,Theater Bug,FY19,"810 Hillsboro Rd
Franklin, TN 37064
(35.939695, -86.879466)"
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013,5,Arts Access,GLOBAL EDUCATION CENTER,FY16,
St. Cecilia,Early Learning Center/Pre-K,4210 Harding Pike,Nashville,TN,37205,250,Basic Operating,Nashville Ballet,FY19,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37024,228,Basic Operating,Nashville Children's Theatre,FY19,"4425 Granny White Pike
Nashville, TN 37024
(36.09542, -86.801241)"
Bellevue Middle School,MNPS,656 Colice Jeanne Road,Nashville,TN,37221,3,Basic Operating,W.O. Smith Music School,FY17,"656 Colice Jeanne Road
Nashville, TN 37221
(36.072144, -86.934617)"
Dudley Head Start,Pre-K/ELC,1203 3rd Avenue South,Nashville,TN,37210,120,Arts Access,Tennessee Performing Arts Center,FY16,"1203 3rd Avenue South
Nashville, TN 37210
(36.145101, -86.765525)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,96,Basic Operating,Frist Center for the Visual Arts,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,353,Basic Operating,Nashville Children's Theatre,FY16,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,2,Arts Access,Global Education Center,FY17,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Park Avenue Enhanced Option Elementary,MNPS,3703 Park Avenue,Nashville,TN,37209,46,After-School Arts,Tennessee Performing Arts Center,FY16,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Neely's Bend College Prep,MNPS,1251 Neelys Bend Road,Madison,TN,37115,6,Basic Operating,W.O. Smith Music School,FY17,"1251 Neelys Bend Road
Madison, TN 37115
(36.240212, -86.672786)"
Westminster School for Young Children,Pre-K/ELC,3900 West End Avenue,Nashville,TN,37205,1,Arts Access,Global Education Center,FY17,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,5,Arts Access,"Belcourt Theatre, Inc",FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
